Designation/Identification,Obstacle Type,Obstacle Position,Elevation AMSL,Height AGL,Obstacle Lighting,Revision Date,Remarks,Southern,Northern,Scotland,Sheet 1,Sheet 2,Sheet 3,Sheet 4,Sheet 5,Sheet 6,Sheet 7,Sheet 8,London Heli,Orkneys Inset,Shetland Inset
UK28273791F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580807.76N
0024240.36W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273792F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580844.22N
0024240.13W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273793F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580923.61N
0024858.42W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273794F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581000.08N
0024858.26W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273795F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580810.63N
0024858.77W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273796F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580657.65N
0024859.14W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273797F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580621.17N
0024859.36W",640 FT,640 FT,Unknown,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273798F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580508.16N
0024859.72W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273799F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580658.01N
0025032.60W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273800F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580621.82N
0025033.87W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273801F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580545.30N
0025034.09W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273802F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580508.83N
0025034.28W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273803F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","580509.50N
0025208.67W",640 FT,640 FT,Yes,11/1/2023,,,,Yes,,Yes,,,,,,,,,
UK28273805F,"WINDMOTOR/ WIND POWERED GENERATOR-LOCATED OFF SHORE
Single","581233.90N
0025345.84W",600 FT,600 FT,Unknown,3/10/2022,BE-G03,,,Yes,,Yes,,,,,,,,,
UK28197736F,"FLARE PIPE - ON LAND (IN REFINERY)
Single","560013.08N
0034150.28W",413 FT,395 FT,Unknown,17/5/2019,Flare Pipe,,Yes,Yes,Yes,Yes,,Yes,,,,,,,
